Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	MX	0	0.42345021	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	IT	0	0.83341704	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	5	100	Song	US	0	3.49858969	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	GB	0	0.76620434	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	GB	0	0.76620434	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	2	100	Song	MX	0	0.84690041	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	IT	0	0.83341704	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	US	0	2.09915382	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	4	100	Song	US	0	2.79887175	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Magic Bounce (Hatterene Master)	QZFZ42608026	199934859904	1	100	Song	MX	0	0.42345021	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Magic Bounce (Hatterene Master)	QZFZ42608026	199934859904	1	100	Song	IT	0	0.83341704	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Magic Bounce (Hatterene Master)	QZFZ42608026	199934859904	3	100	Song	US	0	2.09915382	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	1	100	Song	GB	0	0.76620434	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	1	100	Song	MX	0	0.42345021	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	1	100	Song	IT	0	0.83341704	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	7	100	Song	US	0	4.89802557	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Banned Badge (Intro)	QZFZ42608024	199934859904	1	100	Song	MX	0	0.42345021	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Banned Badge (Intro)	QZFZ42608024	199934859904	1	100	Song	IT	0	0.83341704	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Banned Badge (Intro)	QZFZ42608024	199934859904	3	100	Song	US	0	2.09915382	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Staryu Starmie (Aqua Jet Ver.)	QT6E92532422	199749539367	1	100	Song	US	0	0.69971794	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Staryu Starmie	QZZ7M2531032	199749539367	1	100	Song	AE	0	0.47191514	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Staryu Starmie	QZZ7M2531032	199749539367	1	100	Song	US	0	0.69971794	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Jigglypuff's Song (Uproar Ver.)	QT3F42510966	199741811775	1	100	Song	US	0	0.69971794	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lavender's a Death Game (Gengar Version)	QZZ7Q2546918	199735974219	2	100	Song	US	0	1.39943588	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Songs	Kirbai	Lavender's a Death Game (Haunter Version)	QZZ7Q2546917	199735974219	1	100	Song	US	0	0.69971794	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	2	100	Song	BR	0	0.00103268	0.00000000
